eff_floor,ler,ler_philips,sys_prod,sys_lab,sys_doe,cri_ra,Rf,Rg,r9,worst_ri,cct
200,296.6,200.0,102.8,134.0,162.6,82.0,89.15377377266458,89.50748958054314,40.25398731914209,70.0,2750
210,309.1,210.0,107.9,140.7,170.7,82.0,88.86855000117828,89.75037722769683,37.547372545357135,70.0,2750
220,321.8,220.0,113.1,147.4,178.9,82.0,88.69535521482362,89.18511440289599,37.536856147420565,70.0,2750
230,334.4,230.0,118.2,154.1,187.0,82.0,89.2642067672624,90.00091074959187,39.54130325863811,70.0,2750
240,347.5,239.7,123.2,160.6,194.9,82.0,88.51692618850059,89.10707871328653,36.45756618902296,70.0,2750
250,361.6,250.0,128.5,167.5,203.2,82.0,88.41080856722758,89.27957445812426,35.834946507678,70.0,2750
255,369.0,255.0,131.1,170.8,207.3,82.0,87.96551344563683,89.89064051753817,36.346081769471944,70.0,2750
260,361.5,260.0,133.6,174.2,211.4,82.0,86.9514781408939,102.86211380052173,3.433587099619942,69.9,2747
265,374.0,265.1,136.3,177.6,215.5,82.0,87.54438527659148,99.94679408997419,5.00197932389203,70.0,2650
270,381.1,270.3,138.9,181.1,219.7,82.0,86.33786572082202,100.0822675896726,6.50575939236208,69.9,2648
275,394.4,275.2,141.4,184.4,223.7,82.0,87.14802068206085,89.64401655343497,37.766626010830436,70.0,2750
280,401.4,280.1,144.0,187.7,227.8,82.0,86.22304678129967,90.45638572862917,34.42358959216783,70.0,2750
285,408.8,285.1,146.5,191.0,231.8,82.0,85.40554389519929,90.77092712151115,30.220071035842025,70.0,2700
290,413.2,289.5,148.8,193.9,235.3,80.1,69.61925078576596,73.8056978685277,28.98639551509949,69.0,2673
295,418.8,293.1,150.7,196.4,238.3,79.1,70.49551132510175,74.12385870837625,26.385425765956143,68.2,2694
300,421.3,295.1,151.7,197.7,239.9,79.2,68.98263395567693,69.9108377098054,18.5118230981916,65.2,2755
305,429.4,300.2,154.3,201.2,244.1,76.1,68.37666241292,69.28975221991188,20.158195004717342,65.3,2750
310,436.2,302.9,155.7,202.9,246.2,73.6,56.52713007950945,52.20597714188057,18.47854071767955,62.9,2650
315,439.3,306.1,157.3,205.1,248.8,73.7,57.96742143056883,52.84246067887395,14.16973903017248,61.1,2757
320,442.1,307.4,158.0,206.0,249.9,67.8,43.73605577459503,33.36042798944261,17.054583736456294,57.5,2762
