eff_floor,ler,ler_philips,cri_ra,r9,worst_ri,cct
200,294.8,199.7,93.4,97.8,91.2,2750
210,307.8,208.4,91.2,96.9,86.6,2735
220,319.4,219.9,92.9,96.2,87.7,2750
230,328.8,226.4,91.0,94.5,87.2,2701
240,345.2,240.0,87.8,92.6,81.9,2750
250,360.8,249.4,86.6,95.0,80.2,2684
255,364.7,255.1,86.7,91.2,79.4,2750
260,371.9,260.0,87.0,91.8,78.9,2750
265,379.9,265.0,82.4,93.3,73.3,2725
270,386.0,270.0,85.0,91.6,76.6,2750
275,391.5,274.2,82.8,42.1,70.5,2649
280,396.9,277.2,81.3,40.5,68.5,2647
285,403.6,281.6,81.5,32.2,66.8,2647
290,409.5,285.2,79.5,30.1,65.3,2645
295,415.0,288.8,76.6,29.1,63.9,2644
300,421.4,292.4,74.5,33.2,65.2,2658
305,427.9,296.5,72.3,29.7,61.7,2651
310,431.4,299.7,69.9,25.4,59.8,2724
315,435.1,302.5,68.3,22.3,57.6,2760
320,437.5,304.1,66.3,16.2,55.2,2750
